"species","year","country","mean"
"Aeshna_cyanea",2000,"Austria",0.01208
"Aeshna_cyanea",2000,"Belgium",0.13271
"Aeshna_cyanea",2000,"Cyprus",0
"Aeshna_cyanea",2000,"Czechia",0.12232
"Aeshna_cyanea",2000,"Denmark",0
"Aeshna_cyanea",2000,"Finland",0.00251
"Aeshna_cyanea",2000,"France",0.086
"Aeshna_cyanea",2000,"Ireland",0
"Aeshna_cyanea",2000,"Isle of Man",0
"Aeshna_cyanea",2000,"Italy",0.00718
"Aeshna_cyanea",2000,"Luxembourg",0.08047
"Aeshna_cyanea",2000,"Netherlands",0.30509
"Aeshna_cyanea",2000,"Portugal",0
"Aeshna_cyanea",2000,"Slovenia",0.24517
"Aeshna_cyanea",2000,"Spain",0.00335
"Aeshna_cyanea",2000,"Sweden",0.00533
"Aeshna_cyanea",2000,"Switzerland",0.42531
"Aeshna_cyanea",2000,"United Kingdom",0.13652
"Aeshna_cyanea",2000,"All",0.0509
"Aeshna_cyanea",2001,"Austria",0.02191
"Aeshna_cyanea",2001,"Belgium",0.20509
"Aeshna_cyanea",2001,"Cyprus",0
"Aeshna_cyanea",2001,"Czechia",0.16268
"Aeshna_cyanea",2001,"Denmark",0
"Aeshna_cyanea",2001,"Finland",0.00667
"Aeshna_cyanea",2001,"France",0.08737
"Aeshna_cyanea",2001,"Ireland",0
"Aeshna_cyanea",2001,"Isle of Man",0.12892
"Aeshna_cyanea",2001,"Italy",0.00399
"Aeshna_cyanea",2001,"Luxembourg",0.22379
"Aeshna_cyanea",2001,"Netherlands",0.29468
"Aeshna_cyanea",2001,"Portugal",0
"Aeshna_cyanea",2001,"Slovenia",0.17128
"Aeshna_cyanea",2001,"Spain",0.00221
"Aeshna_cyanea",2001,"Sweden",0.00737
"Aeshna_cyanea",2001,"Switzerland",0.31412
"Aeshna_cyanea",2001,"United Kingdom",0.18918
"Aeshna_cyanea",2001,"All",0.05613
"Aeshna_cyanea",2002,"Austria",0.00704
"Aeshna_cyanea",2002,"Belgium",0.20093
"Aeshna_cyanea",2002,"Cyprus",0
"Aeshna_cyanea",2002,"Czechia",0.11439
"Aeshna_cyanea",2002,"Denmark",0.01645
"Aeshna_cyanea",2002,"Finland",0.00596
"Aeshna_cyanea",2002,"France",0.09458
"Aeshna_cyanea",2002,"Ireland",0
"Aeshna_cyanea",2002,"Isle of Man",0
"Aeshna_cyanea",2002,"Italy",0.00462
"Aeshna_cyanea",2002,"Luxembourg",0.30521
"Aeshna_cyanea",2002,"Netherlands",0.30592
"Aeshna_cyanea",2002,"Portugal",0.00388
"Aeshna_cyanea",2002,"Slovenia",0.09218
"Aeshna_cyanea",2002,"Spain",0.00659
"Aeshna_cyanea",2002,"Sweden",0.00228
"Aeshna_cyanea",2002,"Switzerland",0.33089
"Aeshna_cyanea",2002,"United Kingdom",0.16521
"Aeshna_cyanea",2002,"All",0.05385
"Aeshna_cyanea",2003,"Austria",0.01899
"Aeshna_cyanea",2003,"Belgium",0.29738
"Aeshna_cyanea",2003,"Cyprus",0
"Aeshna_cyanea",2003,"Czechia",0.1448
"Aeshna_cyanea",2003,"Denmark",0.03538
"Aeshna_cyanea",2003,"Finland",0
"Aeshna_cyanea",2003,"France",0.12086
"Aeshna_cyanea",2003,"Ireland",0
"Aeshna_cyanea",2003,"Isle of Man",0
"Aeshna_cyanea",2003,"Italy",0.00738
"Aeshna_cyanea",2003,"Luxembourg",0.35064
"Aeshna_cyanea",2003,"Netherlands",0.36611
"Aeshna_cyanea",2003,"Portugal",0.00485
"Aeshna_cyanea",2003,"Slovenia",0.17225
"Aeshna_cyanea",2003,"Spain",0.01586
"Aeshna_cyanea",2003,"Sweden",0.0037
"Aeshna_cyanea",2003,"Switzerland",0.40072
"Aeshna_cyanea",2003,"United Kingdom",0.1923
"Aeshna_cyanea",2003,"All",0.06859
"Aeshna_cyanea",2004,"Austria",0.02062
"Aeshna_cyanea",2004,"Belgium",0.22373
"Aeshna_cyanea",2004,"Cyprus",0
"Aeshna_cyanea",2004,"Czechia",0.09507
"Aeshna_cyanea",2004,"Denmark",0.03122
