"species","year","country","mean"
"Crocothemis_erythraea",2005,"Austria",0.09219
"Crocothemis_erythraea",2005,"Belgium",0.40853
"Crocothemis_erythraea",2005,"Czechia",0.10505
"Crocothemis_erythraea",2005,"Denmark",0.00601
"Crocothemis_erythraea",2005,"Finland",0.00017
"Crocothemis_erythraea",2005,"France",0.2664
"Crocothemis_erythraea",2005,"Germany",0.09949
"Crocothemis_erythraea",2005,"Ireland",0.00058
"Crocothemis_erythraea",2005,"Italy",0.51283
"Crocothemis_erythraea",2005,"Luxembourg",0.28191
"Crocothemis_erythraea",2005,"Netherlands",0.37724
"Crocothemis_erythraea",2005,"Norway",0.00211
"Crocothemis_erythraea",2005,"Portugal",0.61265
"Crocothemis_erythraea",2005,"Slovenia",0.31468
"Crocothemis_erythraea",2005,"Spain",0.39305
"Crocothemis_erythraea",2005,"Sweden",0.00022
"Crocothemis_erythraea",2005,"Switzerland",0.25065
"Crocothemis_erythraea",2005,"United Kingdom",0.00047
"Crocothemis_erythraea",2005,"All",0.18425
"Crocothemis_erythraea",2006,"Austria",0.10529
"Crocothemis_erythraea",2006,"Belgium",0.44507
"Crocothemis_erythraea",2006,"Czechia",0.12371
"Crocothemis_erythraea",2006,"Denmark",0.00734
"Crocothemis_erythraea",2006,"Finland",0.00021
"Crocothemis_erythraea",2006,"France",0.3032
"Crocothemis_erythraea",2006,"Germany",0.11392
"Crocothemis_erythraea",2006,"Ireland",0.00072
"Crocothemis_erythraea",2006,"Italy",0.54918
"Crocothemis_erythraea",2006,"Luxembourg",0.32425
"Crocothemis_erythraea",2006,"Netherlands",0.4148
"Crocothemis_erythraea",2006,"Norway",0.00261
"Crocothemis_erythraea",2006,"Portugal",0.644
"Crocothemis_erythraea",2006,"Slovenia",0.34793
"Crocothemis_erythraea",2006,"Spain",0.42571
"Crocothemis_erythraea",2006,"Sweden",0.00028
"Crocothemis_erythraea",2006,"Switzerland",0.27981
"Crocothemis_erythraea",2006,"United Kingdom",0.00058
"Crocothemis_erythraea",2006,"All",0.20205
"Crocothemis_erythraea",2007,"Austria",0.13416
"Crocothemis_erythraea",2007,"Belgium",0.51447
"Crocothemis_erythraea",2007,"Czechia",0.16568
"Crocothemis_erythraea",2007,"Denmark",0.01084
"Crocothemis_erythraea",2007,"Finland",0.00032
"Crocothemis_erythraea",2007,"France",0.37915
"Crocothemis_erythraea",2007,"Germany",0.14637
"Crocothemis_erythraea",2007,"Ireland",0.00107
"Crocothemis_erythraea",2007,"Italy",0.61578
"Crocothemis_erythraea",2007,"Luxembourg",0.40869
"Crocothemis_erythraea",2007,"Netherlands",0.48803
"Crocothemis_erythraea",2007,"Norway",0.00384
"Crocothemis_erythraea",2007,"Portugal",0.70159
"Crocothemis_erythraea",2007,"Slovenia",0.4152
"Crocothemis_erythraea",2007,"Spain",0.49015
"Crocothemis_erythraea",2007,"Sweden",0.00041
"Crocothemis_erythraea",2007,"Switzerland",0.33975
"Crocothemis_erythraea",2007,"United Kingdom",0.00087
"Crocothemis_erythraea",2007,"All",0.23777
"Crocothemis_erythraea",2008,"Austria",0.14134
"Crocothemis_erythraea",2008,"Belgium",0.52985
"Crocothemis_erythraea",2008,"Czechia",0.17643
"Crocothemis_erythraea",2008,"Denmark",0.01178
"Crocothemis_erythraea",2008,"Finland",0.00035
"Crocothemis_erythraea",2008,"France",0.39684
"Crocothemis_erythraea",2008,"Germany",0.15465
"Crocothemis_erythraea",2008,"Ireland",0.00117
"Crocothemis_erythraea",2008,"Italy",0.6299
"Crocothemis_erythraea",2008,"Luxembourg",0.42763
"Crocothemis_erythraea",2008,"Netherlands",0.50438
"Crocothemis_erythraea",2008,"Norway",0.00418
"Crocothemis_erythraea",2008,"Portugal",0.71367
"Crocothemis_erythraea",2008,"Slovenia",0.43202
"Crocothemis_erythraea",2008,"Spain",0.5048
"Crocothemis_erythraea",2008,"Sweden",0.00045
"Crocothemis_erythraea",2008,"Switzerland",0.35388
"Crocothemis_erythraea",2008,"United Kingdom",0.00095
"Crocothemis_erythraea",2008,"All",0.24599
"Crocothemis_erythraea",2009,"Austria",0.13859
"Crocothemis_erythraea",2009,"Belgium",0.52382
"Crocothemis_erythraea",2009,"Czechia",0.17208
"Crocothemis_erythraea",2009,"Denmark",0.0114
"Crocothemis_erythraea",2009,"Finland",0.00034
"Crocothemis_erythraea",2009,"France",0.38996
"Crocothemis_erythraea",2009,"Germany",0.15139
"Crocothemis_erythraea",2009,"Ireland",0.00114
